age,job,marital,education,default,housing,loan,contact,y
51,admin.,divorced,high.school,no,yes,yes,cellular,yes
35,blue-collar,divorced,basic.4y,no,yes,no,cellular,no
53,admin.,married,university.degree,no,no,no,telephone,no
53,entrepreneur,divorced,university.degree,no,yes,no,cellular,no
34,admin.,divorced,university.degree,no,yes,no,telephone,yes
50,housemaid,divorced,high.school,unknown,yes,no,telephone,no
39,admin.,married,university.degree,unknown,no,no,cellular,no
27,student,single,high.school,no,yes,no,cellular,no
27,management,single,university.degree,no,yes,no,cellular,no
44,blue-collar,single,basic.4y,no,yes,no,telephone,no
29,self-employed,married,university.degree,no,no,no,cellular,no
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,no
31,technician,single,high.school,no,yes,no,cellular,no
29,technician,married,professional.course,no,no,no,cellular,no
60,retired,married,university.degree,unknown,yes,no,telephone,no
28,self-employed,single,university.degree,no,no,yes,cellular,yes
28,blue-collar,married,basic.9y,no,yes,no,cellular,yes
40,services,married,high.school,no,no,no,cellular,no
35,admin.,married,high.school,no,no,no,telephone,no
36,services,single,high.school,no,no,no,cellular,no
36,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,no
49,admin.,married,high.school,no,yes,yes,cellular,no
47,admin.,married,university.degree,unknown,no,yes,telephone,no
29,admin.,married,university.degree,no,no,yes,cellular,no
35,blue-collar,divorced,basic.9y,no,no,yes,telephone,no
33,admin.,married,professional.course,no,no,no,telephone,no
28,services,single,high.school,no,yes,no,telephone,no
44,technician,married,professional.course,no,no,no,telephone,no
34,management,single,university.degree,no,no,no,cellular,no
48,admin.,divorced,high.school,no,no,no,telephone,no
38,technician,married,professional.course,no,no,no,telephone,no
39,services,married,high.school,no,no,no,cellular,no
35,blue-collar,single,basic.4y,no,no,no,cellular,no
26,admin.,single,university.degree,no,yes,no,cellular,no
48,admin.,married,high.school,unknown,yes,yes,cellular,no
41,blue-collar,married,basic.9y,no,yes,yes,cellular,no
37,blue-collar,married,basic.6y,unknown,no,no,cellular,no
38,technician,single,university.degree,no,yes,no,telephone,no
45,blue-collar,married,basic.4y,unknown,no,yes,cellular,no
45,blue-collar,married,basic.6y,unknown,yes,no,cellular,yes
36,student,single,basic.9y,no,yes,no,telephone,no
45,blue-collar,married,basic.4y,unknown,yes,yes,telephone,no
45,admin.,divorced,university.degree,no,yes,yes,cellular,no
35,admin.,divorced,high.school,no,yes,no,cellular,no
40,blue-collar,married,basic.4y,unknown,no,no,telephone,no
38,unemployed,married,basic.4y,unknown,no,no,cellular,no
39,admin.,married,high.school,no,yes,no,telephone,no
52,housemaid,married,basic.6y,no,yes,no,cellular,no
37,entrepreneur,married,basic.9y,no,no,no,cellular,no
33,admin.,single,high.school,no,yes,no,cellular,no
33,admin.,single,university.degree,no,yes,no,cellular,no
49,blue-collar,married,basic.4y,unknown,yes,no,telephone,no
38,admin.,married,high.school,no,yes,no,cellular,no
34,technician,married,professional.course,no,yes,no,cellular,no
38,blue-collar,married,basic.9y,unknown,yes,no,cellular,no
56,self-employed,married,basic.9y,no,unknown,unknown,cellular,no
30,unemployed,married,high.school,no,no,no,cellular,yes
24,student,single,professional.course,no,yes,no,cellular,yes
36,technician,married,unknown,no,yes,no,telephone,no
40,technician,married,basic.9y,no,no,no,cellular,no
29,services,married,university.degree,no,no,yes,cellular,no
29,blue-collar,married,basic.9y,no,yes,no,cellular,no
46,admin.,married,high.school,unknown,yes,no,cellular,no
51,admin.,married,high.school,no,no,yes,telephone,no
27,services,single,high.school,no,yes,no,cellular,no
58,management,married,university.degree,no,yes,no,cellular,no
29,technician,single,university.degree,no,yes,no,cellular,no
43,blue-collar,divorced,basic.4y,unknown,no,no,telephone,no
34,technician,divorced,professional.course,no,yes,no,cellular,no
27,technician,single,basic.9y,unknown,no,no,cellular,no
53,management,married,university.degree,no,yes,no,cellular,no
44,admin.,single,professional.course,no,yes,no,telephone,no
30,blue-collar,married,basic.6y,no,yes,yes,cellular,no
32,admin.,single,university.degree,no,yes,no,cellular,no
30,technician,single,high.school,no,no,no,cellular,yes
46,admin.,divorced,university.degree,unknown,yes,no,cellular,no
39,services,divorced,high.school,no,no,no,cellular,no
28,technician,divorced,professional.course,unknown,yes,no,telephone,no
34,admin.,unknown,university.degree,no,yes,no,cellular,no
50,blue-collar,married,basic.4y,no,no,no,cellular,yes
59,technician,married,unknown,no,yes,no,telephone,no
27,services,single,high.school,no,yes,no,cellular,no
32,technician,single,professional.course,no,no,no,cellular,no
29,admin.,single,university.degree,no,no,no,telephone,no
42,services,single,high.school,no,yes,no,cellular,no
25,blue-collar,single,high.school,unknown,yes,no,telephone,no
52,housemaid,married,basic.4y,unknown,yes,yes,cellular,no
47,technician,divorced,high.school,no,yes,no,cellular,yes
43,blue-collar,married,basic.9y,no,yes,yes,cellular,no
36,technician,married,professional.course,no,yes,no,telephone,no
35,technician,single,high.school,no,yes,no,telephone,no
56,management,married,university.degree,no,no,yes,telephone,no
55,unemployed,married,university.degree,no,yes,no,cellular,no
55,services,single,high.school,no,no,yes,cellular,no
45,admin.,married,university.degree,no,yes,no,cellular,no
30,technician,married,university.degree,unknown,no,no,telephone,no
30,blue-collar,divorced,basic.9y,no,yes,no,cellular,no
58,admin.,married,high.school,no,yes,no,cellular,no
50,entrepreneur,married,basic.4y,no,yes,no,cellular,no
26,blue-collar,single,basic.9y,unknown,yes,no,cellular,no
33,admin.,single,university.degree,no,no,no,cellular,no
34,blue-collar,married,basic.6y,no,no,no,telephone,no
34,admin.,married,high.school,no,yes,no,telephone,no
29,technician,single,university.degree,no,no,no,cellular,no
37,housemaid,single,university.degree,no,no,no,cellular,yes
24,services,single,professional.course,no,yes,no,cellular,no
81,retired,married,basic.6y,no,no,no,cellular,no
35,blue-collar,married,basic.9y,no,no,no,telephone,no
24,blue-collar,single,basic.9y,no,no,no,cellular,no
33,blue-collar,married,basic.6y,no,yes,no,cellular,no
32,services,married,high.school,no,yes,yes,cellular,no
41,self-employed,married,basic.4y,no,no,no,telephone,no
37,technician,divorced,professional.course,no,no,no,cellular,no
44,blue-collar,married,professional.course,unknown,no,no,cellular,no
57,retired,married,high.school,no,no,no,cellular,no
31,entrepreneur,unknown,university.degree,no,no,no,cellular,yes
56,retired,married,basic.4y,no,no,no,cellular,no
31,admin.,single,university.degree,no,yes,yes,cellular,no
43,unemployed,married,basic.9y,no,no,no,cellular,yes
55,retired,married,university.degree,unknown,no,no,telephone,no
34,technician,married,university.degree,no,yes,no,cellular,no
33,blue-collar,single,high.school,no,yes,no,telephone,no
41,management,married,unknown,no,no,no,telephone,no
50,management,married,university.degree,no,no,no,cellular,no
31,blue-collar,married,basic.6y,unknown,no,no,telephone,no
47,management,married,basic.4y,unknown,no,no,telephone,no
49,entrepreneur,married,high.school,no,no,no,cellular,no
59,self-employed,married,professional.course,no,yes,no,cellular,no
47,admin.,married,university.degree,no,no,no,telephone,no
46,admin.,married,university.degree,no,yes,no,telephone,no
26,management,single,university.degree,no,no,no,cellular,yes
41,self-employed,married,university.degree,no,no,no,telephone,no
40,technician,married,professional.course,unknown,yes,no,cellular,no
47,services,married,high.school,no,no,no,cellular,no
27,admin.,single,university.degree,no,no,no,cellular,no
30,technician,married,professional.course,no,no,no,cellular,no
42,admin.,married,university.degree,no,yes,yes,cellular,no
39,technician,single,professional.course,no,yes,no,cellular,no
29,admin.,single,high.school,no,no,no,cellular,no
46,blue-collar,married,basic.4y,no,unknown,unknown,telephone,no
41,admin.,married,university.degree,no,yes,no,telephone,no
36,housemaid,married,basic.4y,no,no,no,telephone,no
52,admin.,married,high.school,no,no,no,cellular,no
32,admin.,married,high.school,no,yes,no,cellular,no
31,services,single,high.school,no,yes,no,telephone,no
45,blue-collar,married,basic.6y,unknown,yes,no,cellular,no
48,housemaid,married,basic.4y,no,yes,no,cellular,no
32,admin.,single,high.school,no,no,no,telephone,no
33,admin.,married,high.school,no,no,no,cellular,no
41,entrepreneur,single,high.school,no,yes,no,telephone,no
53,technician,married,high.school,no,yes,no,telephone,no
51,services,married,unknown,no,no,no,cellular,no
26,admin.,single,university.degree,no,no,no,cellular,yes
27,blue-collar,single,basic.6y,no,no,no,telephone,no
31,technician,married,professional.course,no,yes,no,cellular,no
44,blue-collar,married,basic.4y,no,no,no,cellular,no
35,blue-collar,married,basic.9y,no,unknown,unknown,telephone,no
44,blue-collar,married,basic.4y,unknown,no,no,telephone,no
41,blue-collar,married,professional.course,unknown,no,no,cellular,no
34,technician,married,professional.course,no,yes,yes,cellular,no
34,blue-collar,married,basic.9y,no,yes,no,cellular,no
43,management,married,university.degree,no,yes,no,cellular,yes
39,blue-collar,divorced,basic.9y,no,no,no,telephone,no
46,technician,divorced,university.degree,no,no,no,telephone,no
35,technician,divorced,professional.course,no,no,no,cellular,yes
47,services,married,high.school,unknown,yes,yes,telephone,no
27,management,single,university.degree,no,no,no,cellular,no
37,admin.,married,high.school,unknown,no,no,cellular,no
52,blue-collar,married,basic.9y,no,yes,no,telephone,no
43,blue-collar,married,basic.9y,no,yes,no,telephone,no
31,admin.,single,university.degree,no,yes,no,cellular,no
29,admin.,single,university.degree,no,yes,no,cellular,no
43,admin.,married,high.school,no,yes,no,cellular,no
47,entrepreneur,single,university.degree,unknown,yes,no,telephone,no
45,unemployed,divorced,basic.4y,no,yes,no,cellular,no
39,blue-collar,married,basic.4y,no,no,no,cellular,no
36,admin.,married,high.school,no,yes,no,cellular,no
21,services,single,basic.9y,no,no,no,cellular,no
28,admin.,married,high.school,unknown,no,no,cellular,no
48,services,divorced,high.school,no,yes,no,cellular,no
43,management,married,university.degree,no,no,no,cellular,no
37,admin.,single,university.degree,no,no,yes,cellular,no
59,retired,divorced,professional.course,no,yes,no,cellular,no
31,entrepreneur,married,basic.6y,no,yes,no,telephone,no
57,technician,single,university.degree,unknown,yes,no,cellular,no
44,services,married,high.school,no,no,no,cellular,no
57,management,divorced,university.degree,unknown,yes,yes,telephone,no
26,unknown,single,high.school,unknown,no,no,telephone,no
43,retired,married,high.school,no,yes,no,cellular,no
34,blue-collar,married,basic.9y,no,yes,no,telephone,no
48,admin.,married,high.school,no,no,no,cellular,yes
32,admin.,divorced,high.school,no,yes,no,telephone,no
38,technician,single,professional.course,no,yes,no,cellular,no
37,admin.,single,university.degree,unknown,no,yes,cellular,no
29,admin.,single,university.degree,unknown,yes,no,cellular,no
42,admin.,married,university.degree,no,no,no,cellular,no
52,management,divorced,university.degree,no,no,no,telephone,no
48,unemployed,divorced,basic.4y,no,no,yes,telephone,no
30,services,single,unknown,no,yes,no,telephone,no
41,technician,married,professional.course,no,no,no,cellular,no
24,admin.,single,university.degree,no,yes,no,cellular,no
57,management,divorced,university.degree,unknown,yes,no,cellular,no
28,student,single,university.degree,no,yes,no,cellular,no
51,blue-collar,divorced,basic.9y,no,no,no,cellular,no
41,technician,married,university.degree,unknown,no,yes,cellular,no
25,management,single,university.degree,no,yes,no,cellular,no
47,admin.,single,university.degree,no,no,no,cellular,no
34,admin.,single,high.school,no,yes,no,cellular,no
40,admin.,married,basic.9y,unknown,yes,yes,telephone,no
29,blue-collar,single,unknown,no,no,no,telephone,no
33,unemployed,married,basic.9y,no,yes,no,telephone,no
47,admin.,married,university.degree,no,yes,no,telephone,no
42,admin.,married,university.degree,no,yes,no,cellular,no
55,admin.,married,university.degree,no,yes,yes,cellular,no
40,blue-collar,married,basic.9y,no,yes,no,telephone,no
34,blue-collar,single,basic.9y,unknown,yes,no,telephone,no
54,blue-collar,married,basic.9y,no,yes,no,telephone,no
47,admin.,single,university.degree,no,no,no,cellular,no
39,services,married,high.school,no,yes,no,cellular,no
35,blue-collar,married,basic.9y,unknown,no,no,telephone,no
34,management,married,high.school,no,no,no,cellular,no
31,technician,single,university.degree,no,yes,yes,cellular,no
29,blue-collar,single,basic.9y,no,unknown,unknown,telephone,no
43,services,married,high.school,unknown,yes,no,telephone,no
33,blue-collar,married,basic.9y,no,yes,no,cellular,no
44,admin.,single,university.degree,no,yes,no,telephone,no
32,management,single,university.degree,no,no,no,cellular,no
37,blue-collar,married,basic.9y,no,unknown,unknown,telephone,no
28,unemployed,single,basic.9y,no,no,yes,cellular,yes
31,technician,divorced,university.degree,no,yes,no,cellular,no
33,blue-collar,single,basic.9y,no,yes,no,cellular,no
29,technician,single,university.degree,no,yes,no,telephone,no
34,technician,divorced,professional.course,no,no,no,cellular,no
34,technician,divorced,unknown,no,yes,no,telephone,no
34,blue-collar,divorced,basic.4y,unknown,no,no,telephone,no
34,technician,single,professional.course,no,yes,no,cellular,no
36,admin.,married,university.degree,no,yes,no,cellular,no
28,admin.,married,university.degree,no,no,no,cellular,no
38,admin.,married,university.degree,no,no,no,cellular,yes
34,admin.,married,university.degree,no,yes,no,telephone,no
53,management,married,university.degree,no,yes,yes,cellular,no
36,entrepreneur,single,university.degree,no,yes,no,cellular,no
24,student,single,high.school,no,no,no,cellular,no
29,blue-collar,single,high.school,unknown,no,no,telephone,no
47,entrepreneur,married,university.degree,no,yes,no,telephone,no
33,unemployed,single,university.degree,no,yes,no,cellular,no
56,services,divorced,high.school,unknown,yes,no,cellular,no
38,technician,married,professional.course,no,no,no,cellular,no
30,technician,single,professional.course,unknown,yes,yes,cellular,no
38,admin.,married,university.degree,no,no,no,cellular,no
37,services,married,high.school,no,no,no,telephone,no
30,technician,single,professional.course,no,unknown,unknown,telephone,yes
38,unemployed,married,high.school,no,no,no,cellular,no
40,admin.,single,unknown,unknown,no,yes,telephone,no
26,technician,single,professional.course,no,no,no,telephone,no
45,blue-collar,divorced,professional.course,unknown,yes,no,cellular,no
27,unemployed,married,high.school,no,yes,yes,telephone,no
59,retired,single,high.school,no,no,no,telephone,no
49,unemployed,married,high.school,unknown,yes,no,cellular,no
29,services,divorced,high.school,no,no,no,telephone,no
47,admin.,married,university.degree,no,yes,no,cellular,no
43,housemaid,married,basic.4y,unknown,no,no,telephone,no
28,services,married,high.school,no,no,no,cellular,no
35,admin.,single,university.degree,no,no,yes,cellular,no
47,blue-collar,single,basic.9y,unknown,yes,no,cellular,no
58,management,single,professional.course,no,no,no,telephone,no
36,blue-collar,single,basic.9y,no,yes,no,telephone,no
26,admin.,married,basic.9y,no,no,no,cellular,yes
50,admin.,divorced,basic.9y,no,yes,yes,cellular,no
27,admin.,single,university.degree,no,no,no,cellular,no
34,services,divorced,high.school,no,yes,no,telephone,no
55,self-employed,married,unknown,unknown,no,no,cellular,no
36,management,single,high.school,no,yes,no,cellular,no
33,technician,married,professional.course,no,yes,no,telephone,no
44,blue-collar,married,basic.9y,no,yes,no,telephone,no
28,services,single,high.school,no,unknown,unknown,cellular,no
30,blue-collar,married,unknown,no,no,no,telephone,no
58,unknown,married,basic.4y,no,yes,no,cellular,yes
52,retired,divorced,professional.course,no,no,no,cellular,no
30,services,divorced,high.school,no,yes,no,telephone,no
54,blue-collar,married,basic.4y,no,unknown,unknown,cellular,yes
36,self-employed,married,basic.4y,unknown,yes,no,cellular,no
54,management,divorced,university.degree,no,yes,no,telephone,no
29,technician,single,university.degree,no,no,no,telephone,no
45,services,married,high.school,unknown,yes,no,cellular,no
30,admin.,married,university.degree,no,no,no,cellular,yes
36,admin.,single,high.school,no,unknown,unknown,cellular,yes
30,technician,single,university.degree,unknown,yes,no,cellular,no
30,management,married,university.degree,no,yes,no,telephone,no
31,blue-collar,single,basic.4y,unknown,yes,no,cellular,no
44,blue-collar,married,basic.4y,no,unknown,unknown,telephone,no
58,services,married,high.school,no,no,no,cellular,no
44,admin.,single,university.degree,no,no,no,cellular,no
56,admin.,divorced,university.degree,no,yes,no,cellular,no
52,self-employed,single,professional.course,no,no,yes,cellular,no
30,unemployed,divorced,high.school,no,no,no,cellular,no
41,housemaid,married,high.school,no,yes,no,cellular,no
33,blue-collar,single,high.school,no,yes,no,cellular,yes
35,blue-collar,married,basic.6y,unknown,no,yes,telephone,no
56,technician,married,professional.course,no,yes,no,cellular,no
36,admin.,divorced,university.degree,no,yes,no,cellular,yes
45,blue-collar,married,unknown,unknown,no,no,cellular,no
50,blue-collar,married,basic.6y,unknown,yes,no,telephone,no
29,admin.,married,high.school,no,yes,no,telephone,no
34,admin.,married,university.degree,no,yes,no,telephone,no
31,services,single,high.school,no,yes,no,telephone,no
40,technician,married,professional.course,no,yes,no,cellular,no
44,management,married,university.degree,no,yes,no,cellular,no
32,admin.,married,university.degree,no,yes,no,cellular,no
64,retired,married,university.degree,no,no,no,cellular,yes
48,blue-collar,married,basic.4y,unknown,yes,no,cellular,no
32,blue-collar,divorced,basic.4y,unknown,no,no,telephone,no
40,management,married,university.degree,no,unknown,unknown,telephone,no
32,blue-collar,single,high.school,no,no,no,cellular,yes
43,admin.,married,university.degree,no,yes,no,cellular,no
29,admin.,single,university.degree,no,no,no,cellular,no
39,services,married,professional.course,unknown,yes,no,telephone,no
48,services,married,unknown,no,no,no,cellular,no
31,technician,single,professional.course,no,yes,yes,cellular,no
52,technician,married,professional.course,no,yes,no,cellular,no
23,management,single,university.degree,no,no,yes,cellular,no
55,admin.,married,university.degree,no,yes,no,telephone,no
56,services,married,high.school,unknown,no,yes,telephone,no
63,retired,married,high.school,no,yes,no,cellular,yes
33,unemployed,single,university.degree,no,yes,no,telephone,no
37,admin.,divorced,university.degree,unknown,yes,no,cellular,yes
